,name,latitude,longitude
617,La Malinche,19.231,-98.032
618,La Negrillar,-24.319000000000006,-68.59
619,La Palma,28.57,-17.83
620,La Yeguada,8.47,-80.82
621,"La, Gloria",19.33,-97.25
622,Labo,14.02,122.792
623,Laco,-23.8,-67.5
624,Laguna Aramuaca,12.428,-88.105
625,Laguna Blanca,-39.02,-70.37
626,Laguna Caldera,14.42,121.27
627,Laguna del Maule,-36.058,-70.492
628,Laguna Jayu Khota,-19.463,-67.432
629,Laguna Mariñaqui,-38.255,-71.167
630,Laguna Verde,-23.252,-67.71
631,Lake Yojoa,14.98,-87.98
632,Langjokull,64.85,-19.7
633,Lanín,-39.637,-71.502
634,Lanzarote,29.03,-13.63
635,Larancagua,-18.02,-69.08
636,Lardello,43.25,10.87
637,Larderello,43.25,10.87
638,Las Cumbres,19.15,-97.27
639,Las Lajas,12.3,-85.73
640,Las Pilas,12.495,-86.68799999999997
641,Lascar,-23.37,-67.73
642,Lassen Volcanic Center,40.492,-121.508
643,Lastarria,-25.168000000000006,-68.507
644,Latukan,7.65,124.45
645,Lautaro,-49.02,-73.55
646,Lavic Lake,34.75,-116.625
647,Leizhou Bandao,20.78,110.17
648,Lejía,-23.55,-67.77
649,Leonard Range,7.3820000000000014,126.047
650,Leskov Island,-56.65600000000001,-28.14
651,Lettunup,58.4,58.4
652,Leutongey,57.3,159.83
653,Level Mountain,58.42,-131.35
654,Lexone,-17.87,-69.48
655,Liamuiga,17.37,-62.8
656,Licancabur,-22.83,-67.88
657,Licto,-1.78,-78.613
658,Linzor,-22.18,-67.95
659,Lipari,38.48,14.95
660,Little Sitkin,51.95,178.543
661,Ljosufjoll,64.87,-22.23
662,Llaima,-38.692,-71.729
663,Llancanelo Volcanic Field,-35.75,-69.25
664,Llullaillaco,-24.72,-68.53
665,Loihi,18.92,-155.27
666,Lokon-Empung,1.358,124.792
667,Lomas Blancas,-36.286,-71.009
668,Long Valley,37.7,-118.87
669,Longgang Group,42.33,126.5
670,Longonot,-0.914,36.446
671,Lonquimay,-38.379,-71.586
672,Los Atlixcos,19.809,-96.526
673,Los Azufres,19.85,-100.63
674,Los Humeros,19.68,-97.45
675,Los Patos,-27.27,-69.0
676,Losloyo,-23.13,-67.37
677,Lower Chindwin,22.28,95.1
678,Lubukraya,1.4780000000000002,99.209
679,Ma Alalta,13.013,40.185
680,Macá,-45.1,-73.17
681,Macauley,-30.2,-178.47
682,Macdonald,-28.98,-140.25
683,Machín,4.487,-75.389
684,Madeira,32.73,-16.97
685,Mageik,58.195,-155.253
686,Mahagnao,10.882,124.888
687,Maipo,-34.164,-69.832
688,Makaturing,7.647,124.32
689,Makushin,53.89100000000001,-166.923
690,Malinao,13.416,123.608
691,Malindang,8.22,123.63
692,Malindig,13.24,122.018
693,Malintang,0.47,99.67
694,Maly Payalpan,55.82,157.98
695,Maly Semyachik,54.135,159.674
696,Mammoth Mountain,37.631,-119.032
697,Manda Gargori,11.75,41.48
698,Manda Hararo,12.17,40.82
699,Manda-Inakir,12.38,42.2
700,Mandalagan,10.65,123.25
701,Manzaz Volcanic Field,23.92,5.83
702,Marapi,-0.381,100.473
703,Marion Island,-46.9,37.75
704,Mariveles,14.52,120.47
705,Markagunt Plateau,37.58,-122.67
706,Maroa,-38.42,176.33
707,Marsabit,2.32,37.97
708,Martin,58.172,-155.361
709,Masaraga,13.32,123.6
710,Masaya,11.984000000000002,-86.161
711,Mascota Volcanic Field,20.62,-104.83
712,Mashkovtsev,51.1,156.72
713,Mat Ala,13.106,41.161
714,Matutum,6.37,125.07
715,Mauna Kea,19.82,-155.47
716,Mauna Loa,19.475,-155.608
717,Mayon,13.257,123.685
718,Mayor Island,-37.28,176.25
719,Mayotte Island,-12.83,45.17
720,McDonald Islands,-53.03,72.6
721,Meager,50.63,-1235.0
722,Medicine Lake,41.611,-121.554
723,Mega Basalt Field,4.08,37.42
724,Mehetia,-17.874000000000006,-148.06799999999996
725,Meidob Volcanic Field,15.32,26.47
726,Melbourne,-74.35,149.7
727,Melimoyu,-44.08,-72.88
728,Melville,-62.02,-57.67
729,Menengai,-0.2,36.07
730,Mentolat,-44.7,-73.08
731,Meru,-3.25,36.75
732,Methana,37.615,23.336
733,Meullín,-45.22,-73.05
734,Mezhdusopochny,57.47,126.25
735,Michael,-57.787,-26.46
736,Michinmahuida,-42.799,-72.445
737,Michoacán-Guanajuato,19.85,-101.75
738,Middle Gobi,45.28,106.7
739,Milbanke Sound Group,52.5,-128.73
740,Milna,46.815,151.786
741,Milos,36.699,24.439
742,Miñiques,-23.82,-67.77
743,Miravalles,10.748,-85.15299999999998
744,Miscanti,-23.67,-67.72
