,name,latitude,longitude
566,Kagamil,60.974,-169.72
567,Kaguyak,58.608,-154.028
568,Kaikohe-Bay of Islands,-35.3,173.9
569,Kaileney,57.8,160.67
570,Kalatungan,7.95,124.8
571,Kambalny,51.306,156.875
572,Kamen,56.02,160.593
573,Kanaga,51.923,-177.168
574,Kanlaon,10.412,123.132
575,Karaca Dag,37.67,39.83
576,Karang,-6.27,106.042
577,Karangetang,2.781,125.407
578,Karapinar Field,37.67,33.65
579,Karisimbi,-1.506,29.45
580,Karpinsky Group,50.148,155.373
581,Karthala,-11.75,43.38
582,Karymsky,54.049,159.443
583,Kasatochi,52.177,-175.508
584,Katla,63.63,-19.05
585,Katmai,58.28,-154.963
586,Katunga,-0.471,30.191
587,Katwe-Kikorongo,-0.08,29.92
588,Kawi-Butak,-7.92,112.45
589,Kazbek,42.7,44.5
590,Kebeney,57.1,159.93
591,Kekurny,56.4,158.85
592,Kelimutu,-8.77,121.82
593,Kell,51.65,157.35
594,Keluo Group,49.37,125.92
595,Kelut,-7.93,112.308
596,Kembar,3.85,97.664
597,Kendang,-7.245,107.709
598,Kerguelen Islands,-49.58,69.5
599,Kerinci,-1.697,101.264
600,Ketoi,47.35,152.475
601,Khangar,54.761,157.407
602,Khanuy Gol,48.67,102.75
603,Kharimkotan,49.12,154.508
604,Khodutka,52.062,157.711
605,Kialagvik,57.203,-156.745
606,Kikhpinych,54.489,160.251
607,Kilauea,19.421,-155.287
608,Kilimanjaro,3.07,37.35
609,Kinenin,57.35,160.97
610,Kiska,52.103,177.602
611,Kizimen,55.131,160.32
612,Klabat,1.454,125.031
613,Klyuchevskoy,56.056,160.642
614,Kolbeinsey Ridge,66.67,-18.5
615,Kolokol Group,46.042,150.05
616,Komarov,55.033,160.725
617,Kone,8.8,39.692
618,Koniuji,52.22,-175.13
619,Kookooligit Mountains,63.6,-170.43
620,Korath Range,5.1,35.88
621,Korosi,0.77,36.12
622,Korovin,52.332,-174.137
623,Koryaksky,53.321,158.712
624,Kos,36.852,27.251
625,Koshelev,51.356,156.753
626,Kostakan,53.83,158.05
627,Kozyrevsky,55.58,158.38
628,Krafla,65.73,-16.78
629,Krainy,56.37,159.03
630,Krakatau,-6.102,105.423
631,Krasheninnikov,54.596,160.27
632,Kronotsky,54.753,160.533
633,Krysuvik,63.93,-22.1
634,Ksudach,51.844,157.572
635,Kukak,58.453,-154.355
636,Kula,38.58,28.52
637,Kulkev,56.37,158.37
638,Kunlun Volcanic Group,35.52,80.2
639,Kuntomintar,48.75,154.02
640,Kunyit,-2.274,101.483
641,Kupreanof,56.011,-159.797
642,Kurile Lake,51.45,15.12
643,Kurub,11.88,41.21
644,Kutum Volcanic Field,14.57,25.85
645,Kverkfjoll,64.65,-1.72
646,Kyatwa,0.45,30.25
647,Kyejo,-9.229,33.792
648,La Grille,-11.47,43.33
649,La Malinche,19.231,-98.032
650,La Negrillar,-24.319,-68.59
651,La Palma,28.57,-17.83
652,La Yeguada,8.47,-80.82
653,"La, Gloria",19.33,-97.25
654,Labo,14.02,122.792
655,Laco,-23.8,-67.5
656,Laguna Aramuaca,12.428,-88.105
657,Laguna Blanca,-39.02,-70.37
658,Laguna Caldera,14.42,121.27
659,Laguna del Maule,-36.058,-70.492
660,Laguna Jayu Khota,-19.463,-67.432
661,Laguna Mariñaqui,-38.255,-71.167
662,Laguna Verde,-23.252,-67.71
663,Lake Yojoa,14.98,-87.98
664,Lamongan,-7.979,113.342
665,Langjokull,64.85,-19.7
666,Lanín,-39.637,-71.502
667,Lanzarote,29.03,-13.63
668,Larancagua,-18.02,-69.08
669,Lardello,43.25,10.87
670,Larderello,43.25,10.87
